time,ch3_clamp_diode
-0.0174803,5.96046e-10
-0.0174771,5.96046e-10
-0.0174739,5.96046e-10
-0.0174707,5.96046e-10
-0.0174675,5.96046e-10
-0.0174643,5.96046e-10
-0.0174611,5.96046e-10
-0.0174579,0.02
-0.0174547,5.96046e-10
-0.0174515,0.02
-0.0174483,0.02
-0.0174451,0.02
-0.0174419,0.02
-0.0174387,0.02
-0.0174355,0.02
-0.0174323,0.02
-0.0174291,0.02
-0.0174259,0.02
-0.0174227,0.02
-0.0174195,5.96046e-10
-0.0174163,5.96046e-10
-0.0174131,0.02
-0.0174099,0.02
-0.0174067,5.96046e-10
-0.0174035,0.02
-0.0174003,0.02
-0.0173971,0.02
-0.0173939,0.04
-0.0173907,0.02
-0.0173875,0.02
-0.0173843,0.02
-0.0173811,5.96046e-10
-0.0173779,5.96046e-10
-0.0173747,0.02
-0.0173715,0.02
-0.0173683,0.02
-0.0173651,0.02
-0.0173619,5.96046e-10
-0.0173587,0.02
-0.0173555,0.02
-0.0173523,0.02
-0.0173491,5.96046e-10
-0.0173459,0.02
-0.0173427,5.96046e-10
-0.0173395,5.96046e-10
-0.0173363,0.04
-0.0173331,0.02
-0.0173299,0.02
-0.0173267,5.96046e-10
-0.0173235,5.96046e-10
-0.0173203,5.96046e-10
-0.0173171,0.02
-0.0173139,0.02
-0.0173107,0.02
-0.0173075,5.96046e-10
-0.0173043,0.02
-0.0173011,0.02
-0.0172979,0.02
-0.0172947,5.96046e-10
-0.0172915,5.96046e-10
-0.0172883,5.96046e-10
-0.0172851,5.96046e-10
-0.0172819,0.02
-0.0172787,0.02
-0.0172755,5.96046e-10
-0.0172723,5.96046e-10
-0.0172691,0.02
-0.0172659,5.96046e-10
-0.0172627,5.96046e-10
-0.0172595,0.02
-0.0172563,0.02
-0.0172531,5.96046e-10
-0.0172499,5.96046e-10
-0.0172467,0.02
-0.0172435,0.02
-0.0172403,5.96046e-10
-0.0172371,0.02
-0.0172339,5.96046e-10
-0.0172307,0.02
-0.0172275,5.96046e-10
-0.0172243,0.02
-0.0172211,5.96046e-10
-0.0172179,0.02
-0.0172147,0.02
-0.0172115,5.96046e-10
-0.0172083,5.96046e-10
-0.0172051,0.02
-0.0172019,5.96046e-10
-0.0171987,0.02
-0.0171955,5.96046e-10
-0.0171923,5.96046e-10
-0.0171891,0.02
-0.0171859,0.02
-0.0171827,0.02
-0.0171795,5.96046e-10
-0.0171763,5.96046e-10
-0.0171731,5.96046e-10
-0.0171699,5.96046e-10
-0.0171667,0.02
-0.0171635,5.96046e-10
-0.0171603,5.96046e-10
-0.0171571,5.96046e-10
-0.0171539,0.02
-0.0171507,5.96046e-10
-0.0171475,5.96046e-10
-0.0171443,0.02
-0.0171411,0.02
-0.0171379,5.96046e-10
-0.0171347,0.02
-0.0171315,5.96046e-10
-0.0171283,0.02
-0.0171251,5.96046e-10
-0.0171219,5.96046e-10
-0.0171187,5.96046e-10
-0.0171155,5.96046e-10
-0.0171123,0.02
-0.0171091,0.02
-0.0171059,0.02
-0.0171027,0.02
-0.0170995,5.96046e-10
-0.0170963,5.96046e-10
-0.0170931,5.96046e-10
-0.0170899,0.02
-0.0170867,5.96046e-10
-0.0170835,0.02
-0.0170803,0.02
-0.0170771,5.96046e-10
-0.0170739,5.96046e-10
-0.0170707,0.02
-0.0170675,5.96046e-10
-0.0170643,0.02
-0.0170611,0.02
-0.0170579,5.96046e-10
-0.0170547,0.02
-0.0170515,5.96046e-10
-0.0170483,5.96046e-10
-0.0170451,0.02
-0.0170419,5.96046e-10
-0.0170387,0.02
-0.0170355,5.96046e-10
-0.0170323,0.02
-0.0170291,5.96046e-10
-0.0170259,0.02
-0.0170227,5.96046e-10
-0.0170195,0.02
-0.0170163,0.02
-0.0170131,5.96046e-10
-0.0170099,0.02
-0.0170067,0.02
-0.0170035,0.02
-0.0170003,0.02
-0.0169971,5.96046e-10
-0.0169939,5.96046e-10
-0.0169907,5.96046e-10
-0.0169875,5.96046e-10
-0.0169843,0.02
-0.0169811,0.02
-0.0169779,0.02
-0.0169747,0.02
-0.0169715,0.02
-0.0169683,5.96046e-10
-0.0169651,5.96046e-10
-0.0169619,5.96046e-10
-0.0169587,5.96046e-10
-0.0169555,5.96046e-10
-0.0169523,0.02
-0.0169491,5.96046e-10
-0.0169459,0.02
-0.0169427,0.02
-0.0169395,0.02
-0.0169363,0.02
-0.0169331,5.96046e-10
-0.0169299,5.96046e-10
-0.0169267,0.02
-0.0169235,0.02
-0.0169203,0.02
-0.0169171,0.02
-0.0169139,0.02
-0.0169107,5.96046e-10
-0.0169075,0.02
-0.0169043,5.96046e-10
-0.0169011,0.02
-0.0168979,5.96046e-10
-0.0168947,5.96046e-10
-0.0168915,5.96046e-10
-0.0168883,0.02
-0.0168851,5.96046e-10
-0.0168819,0.02
-0.0168787,5.96046e-10
-0.0168755,0.02
-0.0168723,0.02
-0.0168691,0.02
-0.0168659,5.96046e-10
-0.0168627,5.96046e-10
-0.0168595,5.96046e-10
-0.0168563,5.96046e-10
-0.0168531,5.96046e-10
-0.0168499,0.02
-0.0168467,5.96046e-10
-0.0168435,5.96046e-10
-0.0168403,5.96046e-10
-0.0168371,5.96046e-10
-0.0168339,5.96046e-10
-0.0168307,0.02
-0.0168275,0.02
-0.0168243,0.02
-0.0168211,0.02
-0.0168179,0.02
