time,ch1_thermo
-0.0165011,0.58
-0.0164979,0.58
-0.0164947,0.58
-0.0164915,0.54
-0.0164883,0.58
-0.0164851,0.58
-0.0164819,0.58
-0.0164787,0.58
-0.0164755,0.58
-0.0164723,0.58
-0.0164691,0.58
-0.0164659,0.58
-0.0164627,0.58
-0.0164595,0.58
-0.0164563,0.58
-0.0164531,0.58
-0.0164499,0.58
-0.0164467,0.58
-0.0164435,0.58
-0.0164403,0.58
-0.0164371,0.58
-0.0164339,0.62
-0.0164307,0.58
-0.0164275,0.58
-0.0164243,0.58
-0.0164211,0.58
-0.0164179,0.58
-0.0164147,0.58
-0.0164115,0.58
-0.0164083,0.58
-0.0164051,0.58
-0.0164019,0.58
-0.0163987,0.58
-0.0163955,0.58
-0.0163923,0.58
-0.0163891,0.62
-0.0163859,0.58
-0.0163827,0.58
-0.0163795,0.5
-0.0163763,0.74
-0.0163731,2.42
-0.0163699,4.3
-0.0163667,4.34
-0.0163635,4.38
-0.0163603,4.38
-0.0163571,4.34
-0.0163539,4.38
-0.0163507,4.38
-0.0163475,4.38
-0.0163443,4.38
-0.0163411,4.38
-0.0163379,4.38
-0.0163347,4.34
-0.0163315,4.38
-0.0163283,4.38
-0.0163251,4.38
-0.0163219,4.38
-0.0163187,4.38
-0.0163155,4.38
-0.0163123,4.38
-0.0163091,4.38
-0.0163059,4.38
-0.0163027,4.38
-0.0162995,4.38
-0.0162963,4.38
-0.0162931,4.38
-0.0162899,4.38
-0.0162867,4.38
-0.0162835,4.42
-0.0162803,4.38
-0.0162771,4.42
-0.0162739,4.42
-0.0162707,4.38
-0.0162675,4.38
-0.0162643,4.38
-0.0162611,4.38
-0.0162579,4.38
-0.0162547,4.38
-0.0162515,4.38
-0.0162483,4.42
-0.0162451,4.38
-0.0162419,4.38
-0.0162387,4.42
-0.0162355,4.42
-0.0162323,4.42
-0.0162291,4.38
-0.0162259,4.42
-0.0162227,4.42
-0.0162195,4.38
-0.0162163,4.42
-0.0162131,4.42
-0.0162099,4.42
-0.0162067,4.42
-0.0162035,4.42
-0.0162003,4.42
-0.0161971,4.42
-0.0161939,4.42
-0.0161907,4.42
-0.0161875,4.46
-0.0161843,4.42
-0.0161811,4.42
-0.0161779,4.42
-0.0161747,4.42
-0.0161715,4.42
-0.0161683,4.42
-0.0161651,4.42
-0.0161619,4.42
-0.0161587,4.42
-0.0161555,4.42
-0.0161523,4.42
-0.0161491,4.42
-0.0161459,4.42
-0.0161427,4.42
-0.0161395,4.42
-0.0161363,4.42
-0.0161331,4.42
-0.0161299,4.42
-0.0161267,4.42
-0.0161235,4.42
-0.0161203,4.42
-0.0161171,4.42
-0.0161139,4.42
-0.0161107,4.42
-0.0161075,4.42
-0.0161043,4.42
-0.0161011,4.42
-0.0160979,4.42
-0.0160947,4.42
-0.0160915,4.42
-0.0160883,4.38
